'Elapsed time','MLII','V5'
'0:00.304',4.760,4.815
'0:00.308',4.745,4.805
'0:00.312',4.750,4.815
'0:00.316',4.755,4.815
'0:00.320',4.755,4.805
'0:00.324',4.740,4.805
'0:00.328',4.740,4.825
'0:00.332',4.765,4.820
'0:00.336',4.760,4.820
'0:00.340',4.760,4.795
'0:00.344',4.750,4.810
'0:00.348',4.775,4.825
'0:00.352',4.800,4.800
'0:00.356',4.780,4.795
'0:00.360',4.780,4.810
'0:00.364',4.815,4.820
'0:00.368',4.815,4.810
'0:00.372',4.825,4.800
'0:00.376',4.815,4.815
'0:00.380',4.830,4.815
'0:00.384',4.835,4.830
'0:00.388',4.840,4.820
'0:00.392',4.835,4.825
'0:00.396',4.860,4.845
'0:00.400',4.870,4.855
'0:00.404',4.870,4.855
'0:00.408',4.865,4.845
'0:00.412',4.875,4.855
'0:00.416',4.880,4.860
'0:00.420',4.860,4.855
'0:00.424',4.850,4.855
'0:00.428',4.875,4.890
'0:00.432',4.875,4.905
'0:00.436',4.885,4.890
'0:00.440',4.885,4.850
'0:00.444',4.860,4.845
'0:00.448',4.820,4.865
'0:00.452',4.800,4.850
'0:00.456',4.785,4.825
'0:00.460',4.770,4.830
'0:00.464',4.755,4.830
'0:00.468',4.745,4.825
'0:00.472',4.735,4.815
'0:00.476',4.715,4.810
'0:00.480',4.725,4.820
'0:00.484',4.725,4.835
'0:00.488',4.720,4.815
'0:00.492',4.715,4.825
'0:00.496',4.720,4.820
'0:00.500',4.720,4.830
'0:00.504',4.720,4.810
'0:00.508',4.710,4.800
'0:00.512',4.730,4.830
'0:00.516',4.730,4.840
'0:00.520',4.715,4.820
'0:00.524',4.710,4.800
'0:00.528',4.705,4.780
'0:00.532',4.685,4.765
'0:00.536',4.630,4.750
'0:00.540',4.595,4.700
'0:00.544',4.550,4.740
'0:00.548',4.515,4.870
'0:00.552',4.590,4.995
'0:00.556',4.730,5.065
'0:00.560',4.955,5.190
'0:00.564',5.300,5.350
'0:00.568',5.690,5.465
'0:00.572',5.910,5.320
'0:00.576',5.820,4.905
'0:00.580',5.390,4.650
'0:00.584',4.865,4.660
'0:00.588',4.580,4.725
'0:00.592',4.535,4.755
'0:00.596',4.620,4.785
'0:00.600',4.650,4.795
'0:00.604',4.670,4.775
'0:00.608',4.660,4.760
'0:00.612',4.655,4.785
'0:00.616',4.660,4.785
'0:00.620',4.665,4.780
'0:00.624',4.660,4.770
'0:00.628',4.655,4.785
'0:00.632',4.640,4.795
'0:00.636',4.650,4.785
'0:00.640',4.640,4.770
'0:00.644',4.645,4.780
'0:00.648',4.655,4.795
'0:00.652',4.670,4.785
'0:00.656',4.660,4.775
'0:00.660',4.660,4.785
'0:00.664',4.665,4.800
'0:00.668',4.660,4.785
'0:00.672',4.645,4.775
'0:00.676',4.630,4.780
'0:00.680',4.650,4.800
'0:00.684',4.665,4.785
'0:00.688',4.660,4.775
'0:00.692',4.635,4.775
'0:00.696',4.640,4.780
'0:00.700',4.645,4.785
'0:00.704',4.645,4.785
'0:00.708',4.635,4.790
'0:00.712',4.645,4.805
'0:00.716',4.660,4.805
'0:00.720',4.655,4.795
'0:00.724',4.635,4.790
'0:00.728',4.650,4.795
'0:00.732',4.655,4.790
'0:00.736',4.650,4.795
'0:00.740',4.650,4.790
'0:00.744',4.655,4.790
'0:00.748',4.665,4.810
'0:00.752',4.665,4.795
'0:00.756',4.640,4.780
'0:00.760',4.645,4.785
'0:00.764',4.655,4.800
'0:00.768',4.670,4.795
'0:00.772',4.665,4.785
'0:00.776',4.655,4.785
'0:00.780',4.655,4.785
'0:00.784',4.655,4.770
'0:00.788',4.645,4.750
'0:00.792',4.640,4.755
'0:00.796',4.650,4.770
'0:00.800',4.655,4.775
'0:00.804',4.655,4.745
'0:00.808',4.645,4.735
'0:00.812',4.655,4.745
'0:00.816',4.655,4.745
'0:00.820',4.645,4.715
'0:00.824',4.630,4.715
'0:00.828',4.620,4.695
'0:00.832',4.625,4.710
'0:00.836',4.620,4.685
'0:00.840',4.595,4.670
'0:00.844',4.585,4.685
'0:00.848',4.615,4.695
'0:00.852',4.605,4.690
'0:00.856',4.595,4.685
'0:00.860',4.605,4.700
'0:00.864',4.620,4.710
'0:00.868',4.625,4.725
'0:00.872',4.635,4.735
'0:00.876',4.640,4.755
'0:00.880',4.665,4.780
'0:00.884',4.695,4.795
'0:00.888',4.695,4.795
'0:00.892',4.695,4.810
'0:00.896',4.720,4.835
'0:00.900',4.730,4.850
'0:00.904',4.740,4.835
'0:00.908',4.730,4.825
'0:00.912',4.740,4.840
'0:00.916',4.755,4.850
'0:00.920',4.750,4.840
'0:00.924',4.750,4.835
'0:00.928',4.765,4.845
'0:00.932',4.775,4.855
'0:00.936',4.760,4.840
'0:00.940',4.765,4.835
'0:00.944',4.765,4.845
'0:00.948',4.775,4.855
'0:00.952',4.770,4.850
'0:00.956',4.770,4.840
'0:00.960',4.755,4.850
'0:00.964',4.770,4.860
'0:00.968',4.760,4.850
'0:00.972',4.755,4.835
'0:00.976',4.740,4.835
'0:00.980',4.750,4.860
'0:00.984',4.755,4.855
'0:00.988',4.750,4.845
'0:00.992',4.735,4.830
'0:00.996',4.755,4.850
'0:01.000',4.750,4.860
'0:01.004',4.760,4.845
'0:01.008',4.740,4.835
'0:01.012',4.745,4.845
'0:01.016',4.755,4.850
'0:01.020',4.755,4.830
'0:01.024',4.740,4.815
'0:01.028',4.745,4.825
'0:01.032',4.755,4.835
'0:01.036',4.755,4.835
'0:01.040',4.750,4.835
'0:01.044',4.745,4.845
'0:01.048',4.745,4.850
'0:01.052',4.745,4.835
'0:01.056',4.735,4.820
'0:01.060',4.730,4.825
'0:01.064',4.730,4.845
'0:01.068',4.735,4.835
'0:01.072',4.735,4.830
'0:01.076',4.730,4.825
'0:01.080',4.740,4.835
'0:01.084',4.760,4.845
'0:01.088',4.745,4.825
'0:01.092',4.735,4.815
'0:01.096',4.750,4.825
'0:01.100',4.755,4.825
'0:01.104',4.745,4.820
'0:01.108',4.745,4.815
'0:01.112',4.745,4.830
'0:01.116',4.750,4.835
'0:01.120',4.750,4.825
'0:01.124',4.730,4.820
'0:01.128',4.740,4.830
'0:01.132',4.745,4.845
'0:01.136',4.745,4.835
'0:01.140',4.735,4.830
'0:01.144',4.745,4.830
'0:01.148',4.760,4.850
'0:01.152',4.775,4.835
'0:01.156',4.770,4.835
'0:01.160',4.780,4.830
'0:01.164',4.805,4.840
'0:01.168',4.805,4.845
'0:01.172',4.810,4.830
'0:01.176',4.820,4.845
'0:01.180',4.840,4.855
'0:01.184',4.850,4.855
'0:01.188',4.855,4.855
'0:01.192',4.855,4.865
'0:01.196',4.875,4.885
'0:01.200',4.870,4.890
'0:01.204',4.880,4.870
'0:01.208',4.870,4.875
'0:01.212',4.855,4.895
'0:01.216',4.870,4.900
'0:01.220',4.870,4.900
'0:01.224',4.865,4.890
'0:01.228',4.865,4.920
'0:01.232',4.890,4.920
'0:01.236',4.915,4.900
'0:01.240',4.890,4.880
'0:01.244',4.845,4.870
'0:01.248',4.830,4.880
'0:01.252',4.835,4.870
'0:01.256',4.815,4.865
'0:01.260',4.795,4.875
'0:01.264',4.790,4.880
'0:01.268',4.780,4.875
'0:01.272',4.750,4.845
'0:01.276',4.735,4.845
'0:01.280',4.740,4.860
'0:01.284',4.750,4.870
'0:01.288',4.735,4.845
'0:01.292',4.715,4.840
'0:01.296',4.730,4.850
'0:01.300',4.725,4.855
'0:01.304',4.740,4.850
'0:01.308',4.725,4.855
'0:01.312',4.720,4.860
'0:01.316',4.730,4.855
'0:01.320',4.735,4.850
'0:01.324',4.720,4.855
'0:01.328',4.735,4.870
'0:01.332',4.740,4.855
'0:01.336',4.735,4.810
'0:01.340',4.690,4.775
'0:01.344',4.645,4.760
'0:01.348',4.630,4.745
'0:01.352',4.585,4.805
'0:01.356',4.535,4.935
'0:01.360',4.620,5.065
'0:01.364',4.795,5.155
'0:01.368',5.005,5.270
'0:01.372',5.310,5.380
'0:01.376',5.680,5.520
'0:01.380',5.935,5.640
'0:01.384',6.065,5.630
'0:01.388',6.095,5.470
'0:01.392',5.930,5.125
'0:01.396',5.605,4.780
'0:01.400',5.495,4.700
'0:01.404',4.775,4.710
'0:01.408',4.555,4.770
'0:01.412',4.560,4.805
'0:01.416',4.655,4.825
'0:01.420',4.695,4.810
'0:01.424',4.690,4.810
'0:01.428',4.685,4.825
'0:01.432',4.695,4.830
'0:01.436',4.695,4.825
'0:01.440',4.670,4.815
'0:01.444',4.665,4.820
'0:01.448',4.690,4.845
'0:01.452',4.680,4.825
'0:01.456',4.680,4.815
'0:01.460',4.665,4.810
'0:01.464',4.685,4.840
'0:01.468',4.685,4.825
'0:01.472',4.675,4.815
'0:01.476',4.670,4.820
'0:01.480',4.680,4.830
'0:01.484',4.690,4.830
'0:01.488',4.680,4.825
'0:01.492',4.675,4.820
'0:01.496',4.680,4.840
'0:01.500',4.685,4.840
'0:01.504',4.685,4.825
'0:01.508',4.680,4.825
'0:01.512',4.685,4.835
'0:01.516',4.695,4.845
'0:01.520',4.685,4.845
'0:01.524',4.680,4.830
'0:01.528',4.685,4.830
'0:01.532',4.695,4.835
'0:01.536',4.690,4.835
'0:01.540',4.685,4.825
'0:01.544',4.690,4.830
'0:01.548',4.690,4.835
'0:01.552',4.695,4.830
'0:01.556',4.695,4.815
'0:01.560',4.680,4.825
'0:01.564',4.690,4.850
'0:01.568',4.700,4.830
'0:01.572',4.695,4.805
'0:01.576',4.690,4.805
'0:01.580',4.695,4.810
'0:01.584',4.695,4.810
'0:01.588',4.685,4.795
'0:01.592',4.675,4.790
'0:01.596',4.685,4.785
'0:01.600',4.695,4.790
'0:01.604',4.690,4.765
'0:01.608',4.685,4.750
'0:01.612',4.685,4.750
'0:01.616',4.690,4.745
'0:01.620',4.675,4.730
'0:01.624',4.670,4.710
'0:01.628',4.670,4.720
'0:01.632',4.670,4.725
'0:01.636',4.675,4.715
'0:01.640',4.665,4.700
'0:01.644',4.665,4.715
'0:01.648',4.670,4.735
'0:01.652',4.670,4.725
'0:01.656',4.660,4.735
'0:01.660',4.665,4.750
'0:01.664',4.685,4.775
'0:01.668',4.700,4.795
'0:01.672',4.715,4.805
'0:01.676',4.725,4.820
'0:01.680',4.745,4.850
'0:01.684',4.770,4.855
'0:01.688',4.770,4.845
'0:01.692',4.775,4.850
'0:01.696',4.785,4.870
'0:01.700',4.795,4.875
'0:01.704',4.800,4.880
'0:01.708',4.800,4.885
'0:01.712',4.810,4.900
'0:01.716',4.815,4.905
'0:01.720',4.820,4.885
'0:01.724',4.815,4.885
'0:01.728',4.810,4.905
'0:01.732',4.825,4.910
'0:01.736',4.830,4.905
'0:01.740',4.825,4.890
'0:01.744',4.815,4.885
'0:01.748',4.815,4.905
'0:01.752',4.825,4.900
'0:01.756',4.820,4.885
'0:01.760',4.805,4.885
'0:01.764',4.830,4.900
'0:01.768',4.820,4.890
'0:01.772',4.810,4.890
'0:01.776',4.815,4.885
'0:01.780',4.825,4.895
'0:01.784',4.835,4.890
'0:01.788',4.825,4.880
'0:01.792',4.820,4.870
'0:01.796',4.815,4.890
'0:01.800',4.815,4.900
'0:01.804',4.825,4.875
'0:01.808',4.800,4.865
'0:01.812',4.795,4.875
'0:01.816',4.805,4.880
'0:01.820',4.785,4.880
'0:01.824',4.775,4.870
'0:01.828',4.785,4.880
'0:01.832',4.795,4.885
'0:01.836',4.795,4.875
'0:01.840',4.780,4.860
'0:01.844',4.775,4.875
'0:01.848',4.790,4.880
'0:01.852',4.790,4.865
'0:01.856',4.780,4.855
'0:01.860',4.770,4.870
'0:01.864',4.785,4.885
'0:01.868',4.795,4.875
'0:01.872',4.775,4.860
'0:01.876',4.770,4.860
'0:01.880',4.775,4.870
'0:01.884',4.780,4.870
'0:01.888',4.770,4.865
'0:01.892',4.770,4.860
'0:01.896',4.775,4.875
'0:01.900',4.780,4.870
'0:01.904',4.795,4.870
'0:01.908',4.775,4.865
'0:01.912',4.785,4.875
'0:01.916',4.795,4.870
'0:01.920',4.810,4.865
'0:01.924',4.810,4.860
'0:01.928',4.825,4.875
'0:01.932',4.835,4.885
'0:01.936',4.845,4.880
'0:01.940',4.855,4.875
'0:01.944',4.860,4.885
'0:01.948',4.865,4.900
'0:01.952',4.885,4.890
'0:01.956',4.880,4.890
'0:01.960',4.890,4.900
'0:01.964',4.905,4.915
'0:01.968',4.905,4.910
'0:01.972',4.905,4.910
'0:01.976',4.880,4.925
'0:01.980',4.900,4.955
'0:01.984',4.915,4.945
'0:01.988',4.910,4.960
'0:01.992',4.910,4.935
'0:01.996',4.935,4.940
'0:02.000',4.945,4.945
'0:02.004',4.890,4.925
'0:02.008',4.860,4.915
'0:02.012',4.840,4.920
'0:02.016',4.840,4.925
'0:02.020',4.810,4.905
'0:02.024',4.780,4.895
'0:02.028',4.775,4.910
'0:02.032',4.785,4.915
'0:02.036',4.780,4.910
'0:02.040',4.770,4.895
'0:02.044',4.770,4.910
'0:02.048',4.780,4.925
'0:02.052',4.785,4.910
'0:02.056',4.770,4.890
'0:02.060',4.765,4.890
'0:02.064',4.775,4.920
'0:02.068',4.775,4.910
'0:02.072',4.770,4.895
'0:02.076',4.765,4.890
'0:02.080',4.775,4.910
'0:02.084',4.780,4.910
'0:02.088',4.765,4.900
'0:02.092',4.760,4.895
'0:02.096',4.770,4.905
'0:02.100',4.765,4.895
'0:02.104',4.750,4.850
'0:02.108',4.700,4.805
'0:02.112',4.665,4.785
'0:02.116',4.640,4.775
'0:02.120',4.595,4.860
'0:02.124',4.560,5.025
'0:02.128',4.680,5.185
'0:02.132',4.880,5.315
'0:02.136',5.125,5.470
'0:02.140',5.495,5.605
'0:02.144',5.855,5.605
'0:02.148',5.985,5.265
'0:02.152',5.775,4.850
'0:02.156',5.265,4.745
'0:02.160',4.775,4.805
'0:02.164',4.575,4.840
'0:02.168',4.615,4.860
'0:02.172',4.690,4.860
'0:02.176',4.715,4.855
'0:02.180',4.725,4.865
'0:02.184',4.730,4.865
'0:02.188',4.725,4.855
'0:02.192',4.710,4.855
'0:02.196',4.725,4.865
'0:02.200',4.740,4.870
'0:02.204',4.735,4.845
'0:02.208',4.715,4.850
'0:02.212',4.715,4.865
'0:02.216',4.730,4.870
'0:02.220',4.715,4.855
'0:02.224',4.710,4.850
'0:02.228',4.715,4.860
'0:02.232',4.730,4.865
'0:02.236',4.735,4.860
'0:02.240',4.720,4.855
'0:02.244',4.720,4.865
'0:02.248',4.720,4.870
'0:02.252',4.725,4.865
'0:02.256',4.715,4.855
'0:02.260',4.715,4.870
'0:02.264',4.730,4.890
'0:02.268',4.740,4.875
'0:02.272',4.735,4.860
'0:02.276',4.725,4.870
'0:02.280',4.730,4.890
'0:02.284',4.740,4.870
'0:02.288',4.740,4.865
'0:02.292',4.725,4.850
'0:02.296',4.735,4.870
'0:02.300',4.745,4.875
'0:02.304',4.735,4.865
'0:02.308',4.725,4.855
'0:02.312',4.725,4.865
'0:02.316',4.735,4.870
'0:02.320',4.745,4.855
'0:02.324',4.725,4.850
'0:02.328',4.740,4.840
'0:02.332',4.745,4.845
'0:02.336',4.750,4.840
'0:02.340',4.740,4.820
'0:02.344',4.740,4.825
'0:02.348',4.750,4.835
'0:02.352',4.765,4.820
'0:02.356',4.750,4.810
'0:02.360',4.740,4.795
'0:02.364',4.745,4.820
'0:02.368',4.755,4.800
'0:02.372',4.745,4.780
'0:02.376',4.725,4.770
'0:02.380',4.730,4.770
'0:02.384',4.735,4.770
'0:02.388',4.730,4.770
'0:02.392',4.725,4.755
'0:02.396',4.725,4.785
'0:02.400',4.730,4.790
'0:02.404',4.745,4.790
'0:02.408',4.730,4.800
'0:02.412',4.730,4.835
'0:02.416',4.765,4.855
'0:02.420',4.770,4.865
'0:02.424',4.785,4.870
'0:02.428',4.805,4.895
'0:02.432',4.815,4.920
'0:02.436',4.825,4.920
'0:02.440',4.820,4.910
'0:02.444',4.820,4.920
'0:02.448',4.835,4.940
'0:02.452',4.840,4.950
'0:02.456',4.840,4.950
'0:02.460',4.835,4.940
'0:02.464',4.850,4.950
'0:02.468',4.855,4.950
'0:02.472',4.850,4.950
'0:02.476',4.845,4.950
'0:02.480',4.850,4.960
'0:02.484',4.865,4.960
'0:02.488',4.860,4.940
'0:02.492',4.830,4.925
'0:02.496',4.835,4.955
'0:02.500',4.845,4.955
'0:02.504',4.845,4.935
'0:02.508',4.840,4.930
'0:02.512',4.845,4.945
'0:02.516',4.850,4.950
'0:02.520',4.850,4.935
'0:02.524',4.835,4.935
'0:02.528',4.835,4.930
'0:02.532',4.835,4.935
'0:02.536',4.825,4.925
'0:02.540',4.820,4.915
'0:02.544',4.825,4.920
'0:02.548',4.830,4.935
'0:02.552',4.835,4.925
'0:02.556',4.825,4.915
'0:02.560',4.815,4.915
'0:02.564',4.820,4.935
'0:02.568',4.830,4.930
'0:02.572',4.820,4.905
'0:02.576',4.805,4.905
'0:02.580',4.800,4.915
'0:02.584',4.815,4.920
'0:02.588',4.805,4.905
'0:02.592',4.795,4.890
'0:02.596',4.800,4.910
'0:02.600',4.810,4.915
'0:02.604',4.800,4.910
'0:02.608',4.790,4.900
'0:02.612',4.800,4.910
'0:02.616',4.810,4.915
'0:02.620',4.815,4.895
'0:02.624',4.800,4.895
'0:02.628',4.805,4.905
'0:02.632',4.805,4.920
'0:02.636',4.810,4.915
'0:02.640',4.805,4.895
'0:02.644',4.805,4.900
'0:02.648',4.810,4.915
'0:02.652',4.805,4.905
'0:02.656',4.810,4.900
'0:02.660',4.795,4.900
'0:02.664',4.800,4.920
'0:02.668',4.825,4.905
'0:02.672',4.835,4.895
'0:02.676',4.840,4.900
'0:02.680',4.860,4.910
'0:02.684',4.885,4.900
'0:02.688',4.890,4.895
'0:02.692',4.865,4.890
'0:02.696',4.880,4.915
'0:02.700',4.890,4.925
'0:02.704',4.895,4.920
'0:02.708',4.890,4.920
'0:02.712',4.920,4.935
'0:02.716',4.940,4.930
'0:02.720',4.925,4.930
'0:02.724',4.905,4.935
'0:02.728',4.905,4.950
'0:02.732',4.925,4.975
'0:02.736',4.920,4.965
'0:02.740',4.930,4.940
'0:02.744',4.935,4.930
'0:02.748',4.895,4.940
'0:02.752',4.855,4.915
'0:02.756',4.840,4.905
'0:02.760',4.820,4.910
'0:02.764',4.805,4.920
'0:02.768',4.805,4.930
'0:02.772',4.800,4.910
'0:02.776',4.785,4.890
'0:02.780',4.790,4.900
'0:02.784',4.790,4.910
'0:02.788',4.780,4.895
'0:02.792',4.780,4.880
'0:02.796',4.785,4.895
'0:02.800',4.785,4.905
'0:02.804',4.780,4.890
'0:02.808',4.765,4.885
'0:02.812',4.765,4.900
'0:02.816',4.765,4.910
'0:02.820',4.760,4.895
'0:02.824',4.765,4.895
'0:02.828',4.755,4.895
'0:02.832',4.765,4.870
'0:02.836',4.755,4.845
'0:02.840',4.700,4.800
'0:02.844',4.665,4.785
'0:02.848',4.645,4.835
'0:02.852',4.600,4.960
'0:02.856',4.625,5.065
'0:02.860',4.780,5.140
'0:02.864',4.985,5.265
'0:02.868',5.295,5.430
'0:02.872',5.690,5.555
'0:02.876',5.935,5.385
'0:02.880',5.955,4.980
'0:02.884',5.580,4.730
'0:02.888',5.035,4.730
'0:02.892',4.660,4.800
'0:02.896',4.580,4.845
'0:02.900',4.585,4.855
'0:02.904',4.715,4.845
'0:02.908',4.710,4.855
'0:02.912',4.715,4.865
'0:02.916',4.735,4.865
'0:02.920',4.730,4.860
'0:02.924',4.725,4.850
'0:02.928',4.725,4.850
'0:02.932',4.725,4.870
'0:02.936',4.725,4.870
'0:02.940',4.730,4.855
'0:02.944',4.715,4.850
'0:02.948',4.720,4.875
'0:02.952',4.730,4.865
'0:02.956',4.720,4.855
'0:02.960',4.710,4.860
'0:02.964',4.705,4.875
'0:02.968',4.715,4.875
'0:02.972',4.720,4.865
'0:02.976',4.705,4.860
'0:02.980',4.705,4.870
'0:02.984',4.715,4.875
'0:02.988',4.710,4.870
'0:02.992',4.700,4.870
'0:02.996',4.710,4.880
'0:03.000',4.705,4.880
'0:03.004',4.720,4.875
'0:03.008',4.700,4.865
'0:03.012',4.705,4.875
'0:03.016',4.725,4.885
'0:03.020',4.730,4.870
'0:03.024',4.715,4.855
'0:03.028',4.715,4.865
'0:03.032',4.715,4.875
'0:03.036',4.705,4.865
'0:03.040',4.690,4.860
'0:03.044',4.690,4.870
'0:03.048',4.705,4.870
'0:03.052',4.710,4.870
'0:03.056',4.695,4.860
'0:03.060',4.695,4.855
'0:03.064',4.715,4.850
'0:03.068',4.725,4.865
'0:03.072',4.725,4.855
'0:03.076',4.705,4.850
'0:03.080',4.720,4.865
'0:03.084',4.745,4.845
'0:03.088',4.735,4.815
'0:03.092',4.710,4.810
'0:03.096',4.705,4.815
'0:03.100',4.700,4.820
'0:03.104',4.685,4.805
'0:03.108',4.685,4.780
'0:03.112',4.695,4.790
'0:03.116',4.705,4.780
'0:03.120',4.710,4.755
'0:03.124',4.690,4.750
'0:03.128',4.680,4.760
'0:03.132',4.685,4.770
'0:03.136',4.690,4.760
'0:03.140',4.675,4.750
'0:03.144',4.675,4.775
'0:03.148',4.690,4.790
'0:03.152',4.695,4.795
'0:03.156',4.690,4.800
'0:03.160',4.695,4.830
'0:03.164',4.730,4.865
'0:03.168',4.770,4.885
'0:03.172',4.785,4.880
'0:03.176',4.770,4.875
'0:03.180',4.780,4.900
'0:03.184',4.805,4.910
'0:03.188',4.800,4.905
'0:03.192',4.795,4.905
'0:03.196',4.825,4.915
'0:03.200',4.830,4.920
'0:03.204',4.830,4.910
'0:03.208',4.820,4.900
'0:03.212',4.820,4.935
'0:03.216',4.835,4.925
'0:03.220',4.830,4.925
'0:03.224',4.825,4.915
'0:03.228',4.825,4.915
'0:03.232',4.840,4.915
'0:03.236',4.840,4.905
'0:03.240',4.815,4.885
'0:03.244',4.810,4.900
'0:03.248',4.810,4.920
'0:03.252',4.820,4.920
'0:03.256',4.810,4.900
'0:03.260',4.800,4.905
'0:03.264',4.810,4.915
'0:03.268',4.810,4.910
'0:03.272',4.800,4.900
'0:03.276',4.795,4.905
'0:03.280',4.810,4.920
'0:03.284',4.810,4.920
'0:03.288',4.805,4.910
'0:03.292',4.785,4.895
'0:03.296',4.800,4.920
'0:03.300',4.805,4.920
'0:03.304',4.810,4.900
'0:03.308',4.795,4.895
'0:03.312',4.785,4.900
'0:03.316',4.800,4.910
'0:03.320',4.780,4.880
'0:03.324',4.775,4.885
'0:03.328',4.765,4.895
'0:03.332',4.780,4.895
'0:03.336',4.785,4.900
'0:03.340',4.790,4.895
'0:03.344',4.785,4.890
'0:03.348',4.780,4.905
'0:03.352',4.780,4.895
'0:03.356',4.785,4.885
'0:03.360',4.795,4.885
'0:03.364',4.795,4.900
'0:03.368',4.795,4.905
'0:03.372',4.795,4.880
'0:03.376',4.775,4.875
'0:03.380',4.780,4.890
'0:03.384',4.785,4.905
'0:03.388',4.785,4.890
'0:03.392',4.790,4.890
'0:03.396',4.795,4.905
'0:03.400',4.790,4.915
'0:03.404',4.795,4.885
'0:03.408',4.785,4.890
'0:03.412',4.775,4.895
'0:03.416',4.785,4.910
'0:03.420',4.785,4.880
'0:03.424',4.780,4.885
'0:03.428',4.800,4.905
'0:03.432',4.820,4.915
'0:03.436',4.825,4.905
'0:03.440',4.835,4.895
'0:03.444',4.850,4.890
'0:03.448',4.865,4.920
'0:03.452',4.880,4.910
'0:03.456',4.875,4.915
'0:03.460',4.885,4.930
'0:03.464',4.905,4.935
'0:03.468',4.910,4.925
'0:03.472',4.905,4.925
'0:03.476',4.885,4.930
'0:03.480',4.885,4.945
'0:03.484',4.905,4.940
'0:03.488',4.910,4.940
'0:03.492',4.900,4.935
'0:03.496',4.905,4.965
'0:03.500',4.910,4.975
'0:03.504',4.915,4.960
'0:03.508',4.920,4.940
'0:03.512',4.885,4.935
'0:03.516',4.875,4.935
'0:03.520',4.855,4.920
'0:03.524',4.825,4.920
'0:03.528',4.805,4.920
'0:03.532',4.785,4.920
'0:03.536',4.785,4.915
'0:03.540',4.775,4.905
'0:03.544',4.775,4.900
'0:03.548',4.775,4.920
'0:03.552',4.780,4.910
'0:03.556',4.765,4.895
'0:03.560',4.750,4.905
'0:03.564',4.760,4.925
'0:03.568',4.770,4.915
'0:03.572',4.765,4.900
'0:03.576',4.750,4.895
'0:03.580',4.760,4.910
'0:03.584',4.760,4.920
'0:03.588',4.755,4.890
'0:03.592',4.740,4.865
'0:03.596',4.710,4.835
'0:03.600',4.700,4.825
'0:03.604',4.650,4.775
'0:03.608',4.575,4.825
'0:03.612',4.540,4.960
'0:03.616',4.625,5.080
'0:03.620',4.780,5.150
'0:03.624',4.955,5.235
'0:03.628',5.260,5.410
'0:03.632',5.655,5.560
'0:03.636',5.950,5.500
'0:03.640',5.965,5.060
'0:03.644',5.615,4.735
'0:03.648',5.055,4.745
'0:03.652',4.685,4.835
'0:03.656',4.590,4.855
'0:03.660',4.650,4.875
'0:03.664',4.715,4.885
'0:03.668',4.725,4.880
'0:03.672',4.715,4.890
'0:03.676',4.715,4.895
'0:03.680',4.730,4.895
'0:03.684',4.740,4.900
'0:03.688',4.730,4.890
'0:03.692',4.715,4.890
'0:03.696',4.725,4.900
'0:03.700',4.730,4.910
'0:03.704',4.730,4.900
'0:03.708',4.730,4.895
'0:03.712',4.730,4.900
